作家(handle)	作家名	欄	固有名詞(ja)	含まれる人名	種別	言語	現表記	人名部分	判定	判定の理由	社内の照合(本人ページのローマ字)	探索経路
katayama-nampu	堅山 南風	masterworks[1]	菊慈童	慈童（能の登場人物）	作品名	en	The Chrysanthemum Boy	Chrysanthemum Boy	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
yamaguchi-hoshun	山口 蓬春	collection	山口蓬春記念館	山口蓬春	館・施設	ko	야마구치 호슌 기념관	야마구치 호슌 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.hoshun.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
fukuda-toyoshiro	福田 豊四郎	masterworks[1]	秋田のマリヤ	聖母マリア	作品名	romaji	Akita no Mariya	Akita no Mariya	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
fukuda-toyoshiro	福田 豊四郎	masterworks[1]	秋田のマリヤ	聖母マリア	作品名	en	Maria of Akita	Maria	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
higashiyama-kaii	東山 魁夷	collection	長野県立美術館 東山魁夷館	東山魁夷	館・施設	en	Higashiyama Kaii Gallery, Nagano Prefectural Art Museum	Higashiyama Kaii	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Higashiyama/Kaii）	Wikidataに該当項目／公式サイトURLの登録なし
higashiyama-kaii	東山 魁夷	collection	長野県立美術館 東山魁夷館	東山魁夷	館・施設	ko	나가노현립미술관 히가시야마 가이이관	나가노현립미술관 히가시야마 가이이관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
higashiyama-kaii	東山 魁夷	collection	長野県立美術館 東山魁夷館	東山魁夷	館・施設	fr	Galerie Higashiyama Kaii, Musée d'art de la préfecture de Nagano	Higashiyama Kaii	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Higashiyama/Kaii）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
higashiyama-kaii	東山 魁夷	collection	長野県立美術館 東山魁夷館	東山魁夷	館・施設	es	Galería Higashiyama Kaii, Museo de Arte de la Prefectura de Nagano	Higashiyama Kaii	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Higashiyama/Kaii）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
higashiyama-kaii	東山 魁夷	collection	長野県立美術館 東山魁夷館	東山魁夷	館・施設	de	Higashiyama-Kaii-Galerie, Präfekturkunstmuseum Nagano	Higashiyama Kaii	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Higashiyama/Kaii）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hirayama-ikuo	平山 郁夫	collection	平山郁夫美術館	平山郁夫	館・施設	ko	히라야마 이쿠오 미술관	히라야마 이쿠오 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://hirayama-museum.or.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
hirayama-ikuo	平山 郁夫	collection	平山郁夫シルクロード美術館	平山郁夫	館・施設	en	Hirayama Ikuo Silk Road Museum	Hirayama Ikuo	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Hirayama/Ikuo）	Wikidata P856→https://www.silkroad-museum.jp/（＋言語切替リンク）を取得し全文検索→英名0件
hirayama-ikuo	平山 郁夫	collection	平山郁夫シルクロード美術館	平山郁夫	館・施設	ko	히라야마 이쿠오 실크로드 미술관	히라야마 이쿠오 실크로드 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.silkroad-museum.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
hirayama-ikuo	平山 郁夫	collection	平山郁夫シルクロード美術館	平山郁夫	館・施設	fr	Musée de la route de la soie Hirayama Ikuo	Hirayama Ikuo	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Hirayama/Ikuo）	公式サイト（https://www.silkroad-museum.jp/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hirayama-ikuo	平山 郁夫	collection	平山郁夫シルクロード美術館	平山郁夫	館・施設	es	Museo de la Ruta de la Seda Hirayama Ikuo	Hirayama Ikuo	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Hirayama/Ikuo）	公式サイト（https://www.silkroad-museum.jp/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hirayama-ikuo	平山 郁夫	collection	平山郁夫シルクロード美術館	平山郁夫	館・施設	de	Hirayama-Ikuo-Seidenstraßen-Museum	Hirayama Ikuo	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Hirayama/Ikuo）	公式サイト（https://www.silkroad-museum.jp/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
moriya-tadashi	守屋 多々志	collection	大垣市守屋多々志美術館	守屋多々志	館・施設	en	Ōgaki City Moriya Tadashi Museum of Art	Moriya Tadashi	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Moriya/Tadashi）	Wikidata P856→https://www.city.ogaki.lg.jp/0000002019.html（＋言語切替リンク）を取得し全文検索→英名0件
moriya-tadashi	守屋 多々志	collection	大垣市守屋多々志美術館	守屋多々志	館・施設	ko	오가키시 모리야 다다시 미술관	오가키시 모리야 다다시 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.city.ogaki.lg.jp/0000002019.html（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
moriya-tadashi	守屋 多々志	collection	大垣市守屋多々志美術館	守屋多々志	館・施設	fr	Musée d'art Moriya Tadashi de la ville d'Ōgaki	Moriya Tadashi	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Moriya/Tadashi）	公式サイト（https://www.city.ogaki.lg.jp/0000002019.html）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
moriya-tadashi	守屋 多々志	collection	大垣市守屋多々志美術館	守屋多々志	館・施設	es	Museo de Arte Moriya Tadashi de la ciudad de Ōgaki	Moriya Tadashi	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Moriya/Tadashi）	公式サイト（https://www.city.ogaki.lg.jp/0000002019.html）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
moriya-tadashi	守屋 多々志	collection	大垣市守屋多々志美術館	守屋多々志	館・施設	de	Moriya-Tadashi-Kunstmuseum der Stadt Ōgaki	Moriya Tadashi	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Moriya/Tadashi）	公式サイト（https://www.city.ogaki.lg.jp/0000002019.html）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
moriya-tadashi	守屋 多々志	masterworks[1]	慶長使節支倉常長	支倉常長	作品名	romaji	Keichō Shisetsu Hasekura Tsunenaga	Keichō Shisetsu Hasekura Tsunenaga	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
moriya-tadashi	守屋 多々志	masterworks[1]	慶長使節支倉常長	支倉常長	作品名	en	Hasekura Tsunenaga, the Keichō-Era Envoy to Europe	Hasekura Tsunenaga Keichō Era Envoy Europe	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
akino-fuku	秋野 不矩	collection	浜松市秋野不矩美術館	秋野不矩	館・施設	en	Akino Fuku Museum, Hamamatsu	Akino Fuku	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Akino/Fuku）	Wikidata P856→https://www.city.hamamatsu.shizuoka.jp/akinofuku/index.html（＋言語切替リンク）を取得し全文検索→英名0件
akino-fuku	秋野 不矩	collection	浜松市秋野不矩美術館	秋野不矩	館・施設	ko	하마마쓰시 아키노 후쿠 미술관	하마마쓰시 아키노 후쿠 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.city.hamamatsu.shizuoka.jp/akinofuku/index.html（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
